Name,观影人数,Priority,种类,Seriousness,状态,Brief Desc,Out,完成日期,评级,短评
Charlie and the Chocolate Factory,自己,❗️❗️,电影,,Completed,,Yes,"June 4, 2023",4 佳作,应该属于4.5，就是那种值得细品的。culture classic。整篇充满着荒诞的氛围，supported by Johnny Depp的表演。我最看重的是这种framework，他能把一个factory tour变得很entertaining（whimsy，adventure，moral lessons传输了一种“family first”“家庭教育很重要”的价值观）。可以看到children’s fantasy这个genre是需要充满想象力的。
Bill Burr: Live at Red Rocks,自己,❗️,纪录,,Completed,,Yes,"May 15, 2023",2 难以下咽,"Bill Burr not funny anymore. Cader to a conservative audience in Boulder, Colorado. A middle-aged white man issue is not funny ."
Vice,自己,❗️❗️,电影,Mild,Completed,,Yes,"May 7, 2023",5 值得再看一遍,"wow what a fucking movie. christian bale strikes again. kudos for amy adams and steve carellel. its in-depth, deeply rooted in the culture. it tells you about US politics. its dramatic. it has absurd comedy that almost ridicules at everything, touchs on so many topics. (inside politics, decision making on war and morals, a personal journey of sigma male success story). makes me like the “power creep”, makes me want to find a partner that shares same value and goal."
Bablyon,自己,❗️❗️❗️,电影,,Completed,,Yes,"May 6, 2023",3 及格,a fragmented piece of work that spans 3 hours with a distorted montage at the end. solid casts can not save its mediocre storyline. It sure did capture a glimpse of “craziness” but failed to tie everything altogether. The music is on point.
空中杀手The Sky Crawlers,和他人,❗️❗️,动画,Serious,Completed,,Yes,"April 5, 2023",5 值得再看一遍,强烈的攻壳味道，有着押井守独特的、强烈的哲学世界观，慢热型电影，剧情给力
铃芽之旅,自己,❗️❗️❗️,电影,,Completed,,Yes,"March 30, 2023",4 佳作,应该在4.5这个级别，没毛病的电影，老是想和你名去比
爆裂鼓手Whiplash,自己,❗️❗️❗️,电影,Mild,Completed,,Yes,"March 27, 2023",5 值得再看一遍,"振奋人心的电影，低落的时候看会给自己力量。几个theme：pursuit of excellence, teaching, 爵士的魅力"
高达 水星的魔女 第一季,和他人,❗️❗️❗️,动画,,Completed,,Yes,"February 14, 2023",4 佳作,前期校园生活很迷，后面还是熟悉的大河内
链锯人 第一季,和他人,❗️❗️❗️,动画,,Completed,,Yes,"January 14, 2023",4 佳作,没毛病的漫改，血腥热血
Good Will Hunting,和他人,❗️❗️❗️,电影,Serious,Completed,,Yes,"December 28, 2022",5 值得再看一遍,熟悉的波士顿、哈佛，对人类关系理解到位，成长过程表述丝滑
Glass Onion,自己,❗️❗️❗️,电影,,Completed,,Yes,"December 28, 2022",3 及格,看明星去的，一般的流行推理爽片
逃学威龙,自己,❗️❗️,电影,,Completed,,Yes,"December 27, 2022",3 及格,周星驰的电影，还行
Spirited,自己,❗️❗️,电影,,Completed,,Yes,"December 25, 2022",4 佳作,"a modern take on Charles Dickens’ Christmas Carol, 有意思的，很有christmas气氛。有一些元素可以深挖，很有启发性。will farrell和ryan rynold DOES NOT DISAPPOINT。偶然碰到的精品电影"
阿姆斯特丹,自己,❗️❗️❗️,电影,,Completed,,Yes,"December 24, 2022",3 及格,挺有风格的电影，可能看起来节奏奇奇怪怪的或者断断续续的，不过带入进去后也是一种体验。唯一加分点是全明星阵容。
新哥斯拉,自己,❗️❗️❗️,电影,,Completed,,Yes,"December 23, 2022",4 佳作,有意思的哥斯拉，想让我去了解日本的政府
新奥特曼,和他人,❗️❗️,电影,,Completed,,Yes,"December 11, 2022",3 及格,有意思的奥特曼
Ryuichi Sakamoto: Coda,自己,❗️❗️❗️,纪录,Serious,Completed,,Yes,"December 11, 2022",5 值得再看一遍,展现了坂本龙一的精神，能使人静下来并且思考音乐、死亡等主题
伊夫圣罗兰,自己,❗️,电影,,Completed,,Yes,"December 5, 2022",3 及格,小文艺片，时装历史的一部分。YSL和Dior值得去了解历史
散户大战华尔街：gamestop传奇,自己,❗️❗️❗️,纪录,,Completed,,Yes,"November 30, 2022",3 及格,平庸的纪录片
悲惨世界 Les Misérables (2012),自己,❗️❗️,电影,,Completed,,Yes,"November 28, 2022",3 及格,OK的音乐剧，歌曲没啥问题
星球大战 trigger,和他人,❗️❗️❗️,动画,,Completed,,Yes,"October 9, 2022",3 及格,很一般
American Psycho,自己,❗️❗️❗️,电影,Mild,Completed,,Yes,"October 9, 2022",5 值得再看一遍,非常好看的电影，节奏紧凑，探讨社会内容有深度，值得多看
Entergalatic爱跃星空,自己,❗️❗️❗️,电影,,Completed,,Yes,"October 8, 2022",3 及格,优点：美国优质动画，纽约黑人文化特色充足。缺点：没有什么深入的点、帧数低（特色？）
The Hitman’s Bodyguard,自己,❗️,电影,,Completed,,Yes,"October 8, 2022",3 及格,及格的喜剧电影，看明星去的
Me Time,自己,❗️,电影,,Completed,,Yes,"October 6, 2022",1 直接退出,无脑美国喜剧
Bullet Train,自己,❗️❗️❗️,电影,,Completed,,Yes,"October 5, 2022",4 佳作,成龙风格的喜剧+打斗，优秀的商业片
雷神 爱与雷霆,自己,❗️❗️❗️,电影,,Completed,,Yes,"October 5, 2022",3 及格,经典漫威电影
赛博朋克 2077 Edgerunner,和他人,❗️❗️❗️,动画,Fun,Completed,,Yes,"September 20, 2022",5 值得再看一遍,完全达到预期，值得回味的那种剧，可惜就是有点血腥（能接受）+短（10集）
极乐死亡 - 弗朗索瓦·欧容,自己,❗️,电影,,Completed,,Yes,"September 20, 2022",3 及格,谜之短片
胆量与实话 - 弗朗索瓦·欧容,自己,❗️,电影,,Completed,,Yes,"September 20, 2022",3 及格,4min短片
